image,iou,iou_optimal,gap,runtime
Tp_D_CND_M_N_ani00018_sec00096_00138.tif,0.9702,0.9702,0.0,0.715
Tp_D_CND_M_N_art00076_art00077_10289.tif,0.875,0.875,0.0,0.714
Tp_D_CND_M_N_art00077_art00076_10290.tif,0.9378,0.9378,0.0,0.886
Tp_D_CND_S_N_ani00073_ani00068_00193.tif,0.8451,0.8451,0.0,0.738
Tp_D_CND_S_N_ind00078_ind00077_00476.tif,0.9109,0.9109,0.0,0.709
Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,0.9338,0.9338,0.0,0.783
Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,0.9746,0.9746,0.0,0.863
Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,0.9666,0.9666,0.0,0.875
Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,0.9726,0.9726,0.0,0.87
Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,0.7087,0.7087,0.0,0.769
Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,0.8596,0.8596,0.0,0.74
Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,0.7851,0.7851,0.0,0.742
Tp_D_CNN_M_N_arc00086_xxx00001_00306.tif,0.948,0.948,0.0,0.802
Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,0.9494,0.9494,0.0,0.808
Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,0.8504,0.8504,0.0,0.679
Tp_D_CNN_M_N_nat00013_cha00042_11093.jpg,0.6466,0.6466,0.0,0.634
Tp_D_CNN_M_N_nat00041_nat10123_11439.jpg,0.9388,0.9388,0.0,0.785
Tp_D_CNN_M_N_nat00089_nat00062_10577.jpg,0.9398,0.9398,0.0,0.852
Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg,0.9796,0.9796,0.0,0.866
Tp_D_CNN_M_N_nat10156_ani00024_12016.jpg,0.6298,0.6298,0.0,0.754
Tp_D_CNN_M_N_sec00011_cha00085_11227.jpg,0.9425,0.9425,0.0,0.741
Tp_D_CNN_M_N_sec10107_sec10101_10299.tif,0.7843,0.7843,0.0,0.734
Tp_D_CNN_M_N_sec10110_sec10101_10298.tif,0.7534,0.7534,0.0,0.716
Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,0.9199,0.9199,0.0,0.782
Tp_D_CNN_M_N_txt00054_txt00050_10375.tif,0.9263,0.9263,0.0,0.842
Tp_D_CNN_M_N_txt10109_txt10110_10816.jpg,0.988,0.988,0.0,0.899
Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,0.6408,0.6408,0.0,0.752
Tp_D_CNN_S_B_sec00023_sec00022_00044.tif,0.8422,0.8422,0.0,0.801
Tp_D_CNN_S_B_txt00055_txt00047_11328.jpg,0.9242,0.9242,0.0,0.736
Tp_D_CNN_S_N_ani00053_ani00051_11148.jpg,0.7126,0.7126,0.0,0.71
Tp_D_CNN_S_N_ani00087_ani00088_10102.tif,0.7191,0.7191,0.0,0.709
Tp_D_CNN_S_N_ani10198_ani10197_12407.jpg,0.6994,0.6994,0.0,0.718
Tp_D_CNN_S_N_art00001_ani00074_10442.tif,0.8404,0.8404,0.0,0.728
Tp_D_CNN_S_N_art00007_art00008_01197.tif,0.5094,0.5094,0.0,0.717
